Name,Published Date,review
Christy Lemire,Christy Lemire,"
                                October 10, 2018
                            "
Linda Holmes,Linda Holmes,"
                                January 30, 2017
                            "
Tom Shone,Tom Shone,"
                                January 20, 2017
                            "
Christina Newland,Christina Newland,"
                                January 9, 2017
                            "
Gary M. Kramer,Gary M. Kramer,"
                                December 31, 2016
                            "
Karen D'Souza,Karen D'Souza,"
                                December 30, 2016
                            "
Ignatiy Vishnevetsky,Ignatiy Vishnevetsky,"
                                December 30, 2016
                            "
Paul Byrnes,Paul Byrnes,"
                                December 28, 2016
                            "
Jim Slotek,Jim Slotek,"
                                December 22, 2016
                            "
Peter Howell,Peter Howell,"
                                December 22, 2016
                            "
Barry Hertz,Barry Hertz,"
                                December 22, 2016
                            "
Christopher Orr,Christopher Orr,"
                                December 18, 2016
                            "
Adam Graham,Adam Graham,"
                                December 16, 2016
                            "
Rex Reed,Rex Reed,"
                                December 15, 2016
                            "
Scott Marks,Scott Marks,"
                                December 15, 2016
                            "
Richard Roeper,Richard Roeper,"
                                December 15, 2016
                            "
Ann Hornaday,Ann Hornaday,"
                                December 15, 2016
                            "
Michael Phillips,Michael Phillips,"
                                December 15, 2016
                            "
Calvin Wilson,Calvin Wilson,"
                                December 15, 2016
                            "
J. R. Jones,J. R. Jones,"
                                December 15, 2016
                            "
