,Movie Name,Release Year,Duration,Rating,Metascore,Description,Producer,Votes,Income
0,The Shawshank Redemption,1994,142 min,9.3,80,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,"2,150,553",$28.34M
1,The Godfather,1972,175 min,9.2,100,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,"1,475,808",$134.97M
2,The Dark Knight,2008,152 min,9,84,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"2,121,037",$534.86M
3,The Godfather: Part II,1974,202 min,9,90,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"1,027,175",$57.30M
4,Joker,2019,122 min,8.9,,"In Gotham City, mentally-troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: ""The Joker"".",Todd Phillips,"360,988",$192.73M
5,The Lord of the Rings: The Return of the King,2003,201 min,8.9,94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"1,527,663",$377.85M
6,Pulp Fiction,1994,154 min,8.9,94,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"1,687,476",$107.93M
7,Schindler's List,1993,195 min,8.9,94,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"1,115,424",$96.90M
8,12 Angry Men,1957,96 min,8.9,96,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Sidney Lumet,"614,105",$4.36M
9,Fight Club,1999,139 min,8.8,66,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",David Fincher,"1,718,051",$37.03M
10,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,8.8,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"1,542,891",$315.54M
11,Forrest Gump,1994,142 min,8.8,82,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.",Robert Zemeckis,"1,654,672",$330.25M
12,Drishyam,2013,160 min,8.7,,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Jeethu Joseph,"26,333",$330.25M
13,The Lord of the Rings: The Two Towers,2002,179 min,8.7,87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"1,381,659",$342.55M
14,Goodfellas,1990,146 min,8.7,89,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Martin Scorsese,"929,118",$46.84M
15,One Flew Over the Cuckoo's Nest,1975,133 min,8.7,83,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Milos Forman,"849,381",$112.00M
16,Seppuku,1962,133 min,8.7,85,An elder ronin samurai arrives at a feudal lord's home and requests an honorable place to commit suicide. But when the ronin inquires about a younger samurai who arrived before him things take an unexpected turn.,Masaki Kobayashi,"27,053",$112.00M
17,Interstellar,2014,169 min,8.6,74,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,"1,340,682",$188.02M
18,Cidade de Deus,2002,130 min,8.6,79,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Fernando Meirelles,"657,039",$7.56M
19,Saving Private Ryan,1998,169 min,8.6,91,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,"1,138,781",$216.54M
20,The Green Mile,1999,189 min,8.6,61,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,"1,044,790",$136.80M
21,La vita è bella,1997,116 min,8.6,,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,"567,883",$57.60M
22,Se7en,1995,127 min,8.6,65,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"1,321,170",$100.13M
23,The Silence of the Lambs,1991,118 min,8.6,85,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,"1,164,310",$130.74M
24,Shichinin no samurai,1954,207 min,8.6,98,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Akira Kurosawa,"290,962",$0.27M
25,It's a Wonderful Life,1946,130 min,8.6,89,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,"365,160",$0.27M
26,Gisaengchung,2019,132 min,8.5,95,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",Bong Joon Ho,"46,576",$0.27M
27,Avengers: Endgame,2019,181 min,8.5,78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Anthony Russo,"585,468",$858.37M
28,Whiplash,2014,106 min,8.5,88,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,"637,728",$13.09M
29,The Intouchables,2011,112 min,8.5,,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,"694,935",$13.18M
30,The Prestige,2006,130 min,8.5,66,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,"1,090,687",$53.09M
31,The Departed,2006,151 min,8.5,85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"1,099,673",$132.38M
32,The Pianist,2002,150 min,8.5,85,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Roman Polanski,"661,747",$32.57M
33,Gladiator,2000,155 min,8.5,67,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,"1,241,359",$187.71M
34,American History X,1998,119 min,8.5,62,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Tony Kaye,"969,760",$6.72M
35,Léon,1994,110 min,8.5,64,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,"950,741",$19.50M
36,The Lion King,1994,88 min,8.5,88,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.",Roger Allers,"867,359",$422.78M
37,Nuovo Cinema Paradiso,1988,155 min,8.5,80,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,"207,486",$11.99M
38,Hotaru no haka,1988,89 min,8.5,,A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,"204,592",$11.99M
39,Casablanca,1942,102 min,8.5,100,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,Michael Curtiz,"486,031",$1.02M
40,The Great Dictator,1940,125 min,8.5,,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,"185,812",$1.02M
41,Modern Times,1936,87 min,8.5,96,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,"196,813",$0.16M
42,City Lights,1931,87 min,8.5,99,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,"151,922",$0.02M
43,Capharnaüm,2018,126 min,8.4,75,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,"29,525",$1.66M
44,Kimi no na wa.,2016,106 min,8.4,79,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,"146,231",$5.02M
45,Dangal,2016,161 min,8.4,,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,"130,437",$12.39M
46,Django Unchained,2012,165 min,8.4,81,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Quentin Tarantino,"1,244,065",$162.81M
47,3 Idiots,2009,170 min,8.4,67,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"309,393",$6.53M
48,Taare Zameen Par,2007,165 min,8.4,,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Aamir Khan,"147,834",$1.22M
49,The Lives of Others,2006,137 min,8.4,89,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,"330,286",$11.29M
